,ticker,name,market_cap,sector,industry
48,RIUG.L,L&G US Equity (Responsible Exclusions) UCITS ETF,1482739113745,Financial Services,Asset Management
49,BRK.NE,Berkshire Hathaway Inc.,1437636501387,Financial Services,Insurance - Diversified
50,ORA.TA,"Ormat Technologies, Inc.",1400635740000,Utilities,Renewable Utilities
51,VFIAX,Vanguard 500 Index Fd Admiral Shs,1349436177877,,
52,VOO,Vanguard 500 Index Fund,1349194823922,Financial Services,Asset Management
53,TSLA,"Tesla, Inc.",1305146194800,Consumer Cyclical,Auto - Manufacturers
54,TL0.DE,"Tesla, Inc.",1262837604000,Consumer Cyclical,Auto - Manufacturers
55,VITSX,Vanguard Total Stock Market Index Fund,1242461634425,Financial Services,Asset Management
56,VTSAX,Vanguard Total Stock Market Index Fund,1242292289523,Financial Services,Asset Management
57,PHPP.L,WisdomTree Physical Precious Metals,1217109395216,Financial Services,Asset Management
58,AVGO,Broadcom Inc.,1146996992000,Technology,Semiconductors
59,ISF.L,iShares Core FTSE 100 UCITS ETF GBP (Dist),1144557092735,Financial Services,Asset Management
60,0YXG.L,Broadcom Inc.,1136727454976,Technology,Semiconductors
61,GLTA.L,Invesco UK Gilts UCITS ETF,1101322010118,Financial Services,Asset Management
62,WMT.NE,Walmart Inc.,1095472292929,Consumer Defensive,Discount Stores
63,1YD.DE,Broadcom Inc.,1093795456000,Technology,Semiconductors
64,JPM.NE,JPMorgan Chase & Co.,1077478573310,Financial Services,Banks - Diversified
65,PRIE.L,Amundi Index Solutions - Amundi Prime Europe,1021639422251,Financial Services,Asset Management
66,BRK-B,Berkshire Hathaway Inc.,998727190375,Financial Services,Insurance - Diversified
67,BRK-A,Berkshire Hathaway Inc.,998726515362,Financial Services,Insurance - Diversified
68,NGSP.L,WisdomTree Natural Gas,969958165235,Financial Services,Asset Management
69,BRKA.VI,Berkshire Hathaway Inc.,959023596000,Financial Services,Insurance - Diversified
70,BRYN.DE,Berkshire Hathaway Inc.,951980488418,Financial Services,Insurance - Diversified
71,VISA.NE,Visa Inc.,908121800932,Financial Services,Financial - Credit Services
72,CNUA.L,UBS (Irl) Fund Solutions plc - MSCI China A SF UCITS ETF,873225358938,Financial Services,Asset Management
73,JURE.L,JPMorgan ETFs (Ireland) ICAV - US Research Enhanced Index Equity (ESG) UCITS ETF,796551552036,Financial Services,Asset Management
